iso3_code,country_name,gdp_pcap_ppp,life_expectancy
ZWE,Zimbabwe,5036.76136109489,62.36
ZMB,Zambia,3585.12379084347,65.279
YEM,"Yemen, Rep.",,67.952
PSE,West Bank and Gaza,5753.08395899307,76.662
VIR,Virgin Islands (U.S.),46479.2996685326,80.319512195122
VNM,Viet Nam,12979.7639049934,74.502
VEN,"Venezuela, RB",,72.566
VUT,Vanuatu,3222.83595459346,71.302
UZB,Uzbekistan,9607.56167273449,72.147
URY,Uruguay,30804.7032775797,76.468
USA,United States,72679.2575396348,77.4341463414634
GBR,United Kingdom,53139.151252206,81.0112195121951
ARE,United Arab Emirates,70075.6300053372,80.487
UKR,Ukraine,13787.12109375,72.658
UGA,Uganda,2724.90609568409,67.675
TUV,Tuvalu,5498.18455447209,66.852
TCA,Turks and Caicos Islands,28209.6242536079,77.918
TKM,Turkmenistan,17119.5744946142,69.913
TUR,Turkiye,33520.8111384208,77.591
TUN,Tunisia,12712.22345453,76.05
TTO,Trinidad and Tobago,30784.1112580356,73.331
TON,Tonga,6810.60970632543,72.635
TGO,Togo,2739.68813234711,62.29
TLS,Timor-Leste,5348.49200064987,67.368
THA,Thailand,20762.7952598527,75.291
TZA,Tanzania,3546.98095703125,66.879
TJK,Tajikistan,4213.75618362687,71.562
SYR,Syrian Arab Republic,4454.85373271464,72.79
CHE,Switzerland,82777.293582076,83.6048780487805
SWE,Sweden,63088.4236678734,83.0585365853659
SUR,Suriname,18742.5873760369,73.254
SDN,Sudan,3132.0771484375,65.695
VCT,St. Vincent and the Grenadines,16835.023514541,71.191
MAF,St. Martin (French part),,80.236
LCA,St. Lucia,22962.2818144554,72.67
KNA,St. Kitts and Nevis,29749.8700864823,70.313
LKA,Sri Lanka,13249.065064602,77.3
ESP,Spain,46733.4809780536,83.1341463414634
SSD,South Sudan,,57.203
ZAF,South Africa,13767.4967589936,65.454
SOM,"Somalia, Fed. Rep.",1387.54753732191,53.931
SLB,Solomon Islands,2330.10309195408,70.409
SVN,Slovenia,47050.0676441642,81.2829268292683
SVK,Slovak Republic,38664.9076949851,76.9658536585366
SXM,Sint Maarten (Dutch part),45515.6523389272,76.18
SGP,Singapore,133571.962410322,82.8951219512195
SLE,Sierra Leone,2934.73326430435,61.275
SYC,Seychelles,27978.1770550937,73.7024390243903
SRB,Serbia,23456.2977897073,75.2365853658537
SEN,Senegal,4228.73382642974,67.788
SAU,Saudi Arabia,67178.5902274906,77.31
STP,Sao Tome and Principe,5632.13890715047,69.237
SMR,San Marino,70887.573899815,85.708
WSM,Samoa,6449.36505263744,71.55
RWA,Rwanda,2892.45964942821,67.528
RUS,Russian Federation,38214.49609375,72.5456097560976
ROU,Romania,37353.0450505461,75.1536585365854
QAT,Qatar,114740.16518158,81.857
PRI,Puerto Rico (US),42310.9585064702,79.427
PRT,Portugal,41070.861152974,81.6317073170732
POL,Poland,43405.0215797441,77.1560975609756
PHL,Philippines,9457.10395402883,69.472
PER,Peru,15559.821643644,76.834
PRY,Paraguay,15259.1456311862,72.319
PNG,Papua New Guinea,4125.49303365201,65.274
PAN,Panama,33915.1526066674,79.324
PLW,Palau,16040.9080564681,68.922
PAK,Pakistan,5526.27928310213,67.417
OMN,Oman,39780.2122774985,77.911
NOR,Norway,91051.0831968407,82.509756097561
MNP,Northern Mariana Islands,,78.531
MKD,North Macedonia,21715.4337998328,74.4248780487805
NGA,Nigeria,7752.26206532009,54.079
NER,Niger,1717.51891457684,60.398
NIC,Nicaragua,7277.82264804562,74.463
NZL,New Zealand,49964.1765523158,81.9585365853658
NCL,New Caledonia,,77.698
NLD,Netherlands,71324.0360349277,81.6146341463415
NPL,Nepal,4763.38751073946,70.087
NRU,Nauru,12363.6457029853,61.93
NAM,Namibia,9953.09752403491,64.19
MMR,Myanmar,5350.47666899931,66.506
MOZ,Mozambique,1476.66560298097,63.011
MAR,Morocco,8690.4482421875,75.161
MNE,Montenegro,24342.6033831469,76.1878048780488
MNG,Mongolia,15310.4349469163,71.9007317073171
MCO,Monaco,,85.746
MDA,Moldova,15358.0153548867,71.546
FSM,"Micronesia, Fed. Sts.",3814.99076486823,66.961
MEX,Mexico,21391.8573692427,73.973
MUS,Mauritius,25085.9891959451,73.5146341463415
MRT,Mauritania,6053.26178155509,68.281
MHL,Marshall Islands,6936.86510911803,66.725
MLT,Malta,54085.1262928202,82.4487804878049
MLI,Mali,2813.81095962843,60.035
MDV,Maldives,21357.8112511153,80.76
